"sub"	"vax"	"choice"	"covid_vax_attitude"
1	"AstraZeneca"	1	"Pro"
1	"Novavax"	0	"Pro"
1	"CanSino Biologics"	0	"Pro"
1	"Sinovac"	0	"Pro"
1	"BioNTech/Pfizer"	1	"Pro"
1	"Johnson & Johnson"	1	"Pro"
1	"Bharat Biotech"	0	"Pro"
1	"Moderna"	1	"Pro"
2	"Moderna"	1	"Neutral"
2	"CanSino Biologics"	0	"Neutral"
2	"Sinovac"	0	"Neutral"
2	"Bharat Biotech"	0	"Neutral"
2	"AstraZeneca"	1	"Neutral"
2	"Johnson & Johnson"	1	"Neutral"
2	"BioNTech/Pfizer"	1	"Neutral"
2	"Novavax"	1	"Neutral"
3	"Johnson & Johnson"	1	"Pro"
3	"Bharat Biotech"	1	"Pro"
3	"BioNTech/Pfizer"	1	"Pro"
3	"Sinovac"	0	"Pro"
3	"AstraZeneca"	1	"Pro"
3	"CanSino Biologics"	0	"Pro"
3	"Moderna"	1	"Pro"
3	"Novavax"	1	"Pro"
4	"Sinovac"	1	"Pro"
4	"Novavax"	1	"Pro"
4	"Moderna"	1	"Pro"
4	"BioNTech/Pfizer"	1	"Pro"
4	"AstraZeneca"	1	"Pro"
4	"Bharat Biotech"	0	"Pro"
4	"CanSino Biologics"	0	"Pro"
4	"Johnson & Johnson"	1	"Pro"
5	"Bharat Biotech"	1	"Pro"
5	"Novavax"	0	"Pro"
5	"BioNTech/Pfizer"	1	"Pro"
5	"Sinovac"	0	"Pro"
5	"Moderna"	1	"Pro"
5	"Johnson & Johnson"	0	"Pro"
5	"AstraZeneca"	0	"Pro"
5	"CanSino Biologics"	0	"Pro"
6	"Johnson & Johnson"	0	"Neutral"
6	"Moderna"	0	"Neutral"
6	"Sinovac"	0	"Neutral"
6	"CanSino Biologics"	1	"Neutral"
6	"Bharat Biotech"	1	"Neutral"
6	"AstraZeneca"	0	"Neutral"
6	"Novavax"	0	"Neutral"
6	"BioNTech/Pfizer"	0	"Neutral"
7	"AstraZeneca"	0	"Pro"
7	"Novavax"	1	"Pro"
7	"CanSino Biologics"	0	"Pro"
7	"Johnson & Johnson"	0	"Pro"
7	"BioNTech/Pfizer"	1	"Pro"
7	"Sinovac"	0	"Pro"
7	"Moderna"	1	"Pro"
7	"Bharat Biotech"	1	"Pro"
8	"Novavax"	0	"Neutral"
8	"Johnson & Johnson"	0	"Neutral"
8	"AstraZeneca"	0	"Neutral"
8	"BioNTech/Pfizer"	0	"Neutral"
8	"Sinovac"	0	"Neutral"
8	"Moderna"	1	"Neutral"
8	"CanSino Biologics"	0	"Neutral"
8	"Bharat Biotech"	0	"Neutral"
9	"Novavax"	0	"Neutral"
9	"BioNTech/Pfizer"	1	"Neutral"
9	"Sinovac"	0	"Neutral"
9	"CanSino Biologics"	0	"Neutral"
9	"Bharat Biotech"	0	"Neutral"
9	"Johnson & Johnson"	0	"Neutral"
9	"Moderna"	1	"Neutral"
9	"AstraZeneca"	0	"Neutral"
10	"AstraZeneca"	0	"Neutral"
10	"Moderna"	0	"Neutral"
10	"Bharat Biotech"	0	"Neutral"
10	"Novavax"	1	"Neutral"
10	"Sinovac"	0	"Neutral"
10	"Johnson & Johnson"	0	"Neutral"
10	"BioNTech/Pfizer"	0	"Neutral"
10	"CanSino Biologics"	1	"Neutral"
11	"Moderna"	0	"Neutral"
11	"Sinovac"	0	"Neutral"
11	"CanSino Biologics"	0	"Neutral"
11	"Johnson & Johnson"	0	"Neutral"
11	"BioNTech/Pfizer"	1	"Neutral"
11	"AstraZeneca"	0	"Neutral"
11	"Bharat Biotech"	0	"Neutral"
11	"Novavax"	0	"Neutral"
12	"BioNTech/Pfizer"	0	"Anti"
12	"Sinovac"	0	"Anti"
12	"Moderna"	0	"Anti"
12	"Bharat Biotech"	0	"Anti"
12	"Novavax"	0	"Anti"
12	"Johnson & Johnson"	0	"Anti"
12	"AstraZeneca"	0	"Anti"
12	"CanSino Biologics"	0	"Anti"
13	"AstraZeneca"	0	"Neutral"
13	"BioNTech/Pfizer"	1	"Neutral"
13	"Moderna"	1	"Neutral"
13	"CanSino Biologics"	1	"Neutral"
