"sub"	"oe"	"covid_vax_attitude"
1	"null"	"Pro"
2	"Looking at the probability of certain negative side effects and seeing if the vaccine genuinely protects someone would be very important."	"Neutral"
3	"Not really, I looked at all the numbers and made a quick \assesment\ on the ratio of the benefits and risks."	"Pro"
4	"I weighed the side effects with the benefits and determined if the side effects were worth it based on how much percentage wise the vaccine protected from covid."	"Pro"
5	"Percentages were important. In all things (medicine especially) there are risk and rewards that have to be weighed out in order to make the best decision. So I knew the categories would be the same\/similar but the percentages would be the ever chnaging factor to consider."	"Pro"
6	"I would look up the potential side effects and how I. thought my body would react if those should arise.\nI searched for months and i still research"	"Neutral"
7	"It's hard to say. I just tried to combine benefits and side effects and to apply them to myself, but I think that my own vaccination and the vaccine I had affected my decision."	"Pro"
8	"Emotional choice"	"Neutral"
9	"Severity of risks listed, such as tiredness compared to blood clots. Protection against being infected in the first place was my main concern as for benefits."	"Neutral"
10	"To define some symtoms"	"Neutral"
11	"I have not done any type of searches concerning the vaccines"	"Neutral"
12	"Sorry, but do you mean 'were there...?' With some of the choices I looked at more specific information, but the choices were made randomly."	"Anti"
13	"I've been fully vaccinated yet caught Covid this year. Beforehand I was very pro-vaccines; my spouse got booster shot yet had more severe symptoms that I did. Now I was neutral about the vaccines especially the news that Pfizer was hiding some data and Big pharma been making record profits from the vaccines. I think we should be casting doubt on the vaccines efficacy; it's good to get vaccinated but also respect other people's feelings about vaccine and whether they want to get jab or not it's completely up to them. The way that vaccine mandates have completely backfired and it's why I switched my attitude toward it."	"Neutral"
14	"I went down the line, left column uncovered 2 choices, moved down, etc, then over to the right column and did same."	"Anti"
15	"null"	"Anti"
16	"I mostly based it on the country of origin(China and the US and Germany can't be trusted), the others were based on side effects and how unusual they are based on all the other vaccines I've had in the past 57 years."	"Anti"
17	"Severity of side effects and likelihood."	"Anti"
18	"null"	"Neutral"
19	"null"	"Pro"
20	"Weighed the pros, cons, and probability of the side effects. My search behavior was more or less the same for each vaccine in the choice task. I did accidentally click the wrong choice for Pfizer (I said I would refuse to get this vaccination) and should have agreed to have been vaccinated by all."	"Pro"
21	"I really only cared about serious side effects that would cause issues for the rest of my life.  I wasn't concerned about temporary discomfort."	"Neutral"
22	"I guess because of all of the DEATH and severe adverse reactions to vaccines that are basically for the common cold which supposedly has no cure.  I will not take that experimental vaccine as I have read so many terrible things about it."	"Anti"
23	"I searched through all of the information that was presented to me in this survey. I revealed the information on the left side first, then went through the information on the right side of the screen. I wanted to see both the benefits and the side effects caused by each of the vaccines. I was also curious about how often these side effects can occur from taking the vaccine."	"Anti"
24	"I was looking for the percentage of protection against infection. I chose the vaccines that I believe are more effective against Covid and will provide me with greater protection."	"Pro"
25	"informed by others smarter than i was in medicine and vaccines that i trust to tell me both the positives and negatives"	"Neutral"
26	"What was most effective and that only took one shot. i just did not the full outcomes and i would be scared i feel i got lucky so far and will not take another shot"	"Anti"
27	"I was interested in the efficacy percentages of the vaccinations presented. I noticed that I weeded out the ones that had lower efficacy percentages. I also did not like the ones that had severe side effects, like facial paralysis and heart problems."	"Pro"
28	"null"	"Pro"
29	"Vaccination not worth it for my risk level due to side effects and low risk of severe covid"	"Anti"
30	"There were not really specific reasons, I just went with how I thought I would decide."	"Neutral"
31	"I analyzed the percentages given with the other factors and tried to make the best decision with my gut feelings."	"Anti"
32	"I would try to see what the percent chance was of getting side effects or of getting sick. Then I would pick if I would get it or not."	"Anti"
33	"equal risks to benefits are important to me. also availability of the vaccine and number of people that have received it."	"Pro"
34	"Went in order left to right as they were presented"	"Pro"
35	"null"	"Pro"
36	"null"	"Pro"
37	"null"	"Neutral"
38	"Not really, I'm pretty open to vaccines so I would get all of them except the one that really wasn't all that effective"	"Pro"
39	"I would not want any COVID-19 vaccine at this point in time. I don't see it as a legitimate threat. I also would not pay to avoid taking it because that doesn't seem like a realistic scenario to me."	"Anti"
40	"I am a medical professional still seeing covid every day and I have personally seen the benefits of the vaccine."	"Pro"
41	"No, I just reviewed the information that was presented"	"Anti"
42	"I just went top-to-bottom left-to-right."	"Neutral"
43	"null"	"Pro"
44	"I would not take any of them. I looked at all the criteria, but I would not take any. Covid is a flu, no one should be afraid. I would not risk a runny nose to shoot up unknown junk for a flu. I have heart disease history in my family, not worth the risk."	"Anti"
45	"null"	"Pro"
46	"I did my searching and research based on scientific facts and figures."	"Pro"
47	"Looked at all information, payed specific attention to rates of severe side effects and rates of protection (want to see high rates of protection, if rates of protection were low then more risk adverse when it comes to side effects)"	"Pro"
48	"I looked at the percent effectiveness and then weighed the side effects."	"Pro"
49	"I just wanted to see how it would protect against COVID 19. I felt that this task was unreliable....since COVID has changed. NOT ONE VACCINE Will protect AGAINST getting COVID. So what am I really getting vaccinated for? \nIf I can still get COVID, what good is the vaccines?"	"Neutral"
50	"I generally prioritized looking at the information regarding vaccine efficacy over possible side effects."	"Pro"
51	"No, I just know too many people that suffered complications from the vaccine. I don't want it."	"Anti"
52	"No.  I wanted to see all the facts."	"Pro"
53	"I tried to take a stance on how I felt about different kinds of vaccines and what their side effects where."	"Neutral"
54	"null"	"Pro"
55	"null"	"Neutral"
56	"null"	"Pro"
57	"I searched and got information from qualified sources:  medical community, congressional testimony, world-wide statistics, CDC data (published, but often inaccurately reported), scientists, and applied my own critical thinking skills."	"Anti"
58	"null"	"Pro"
59	"null"	"Neutral"
60	"No. I just read the information presented to me and used my rationality."	"Neutral"
61	"no, looking for severe risks"	"Pro"
62	"I weighed the risks and the benefits. None of the risks were worth the potential benefits for me in this task."	"Anti"
63	"I looked at every choice. In no particular order. Most important factors were effectiveness against severe and death."	"Pro"
64	"The most important to me is there should not be severe side affects that could risk life in the vaccine, the second is how good it prevents COVID."	"Pro"
65	"null"	"Anti"
66	"I had general impressions of each vaccine presented based on news and information I already read. I was not really interested in the \benefits\ listed as I am not concerned in the least about getting a COVID-19 infection. I was exclusively concerned with the \risks\ and the manufacturer of the vaccine; I would never trust a vaccine made in China, for example."	"Neutral"
67	"I answered based off of personal research and my own perception. My search behavior was assertive because this matter should be taken seriously since it is something that will affect your body and possibly life."	"Neutral"
68	"Not really"	"Anti"
69	"did not search I am 60 yrs old natural immunity or death"	"Anti"
70	"No specific reasons at all."	"Pro"
71	"I was looking for highest efficacy rates, really, and not too focused on side effects. I'd recently been vaccinated against shingles, penumonia, and had a T-dap vax. I had MMR as a kid (and a teen and a young adult, something about a bad batch of vax when I was young). I even have a smallpox vaccination scar. I remember a kid in elementary school who had trouble walking because she'd had polio. Most people under 50 today have no idea what a pandemic really looks like and also, rely too heavily on mass media\/tv and have poor critical thinking skills, so I worry for future generations, especially because of the anti-vax movement."	"Pro"
72	"Overall, I looked at how likely the severe risks were to occur and then looked at the overall effectiveness of the vaccine. If there were some rather high risk effects of the vaccine, it needed to be extremely effective at preventing COVID in order for me to consider taking it."	"Pro"
73	"I was worried about severe side effects since I don't want that. Also, if it's from China I don't trust it."	"Pro"
74	"I was wary of any side effect described as severe and I tried to focus on the ones where it was unlikely you get covid and unlikely you die or get severe covid."	"Pro"
75	"I just wanted a reminder of the numbers that various entities claim for each vaccine."	"Anti"
76	"I would say I focused more on the side effects than any other aspect of the vaccines."	"Pro"
77	"no, overall I feel very negative towards the covid vaccines, I would not get one right now"	"Anti"
78	"I used prior knowledge of 4 of the different vaccines. I trust Pfizer and Moderna, but not the others."	"Pro"
79	"My search was characterized by the variety and severity of the bad reactions created by the vaccines. My health is already greatly affected by fatigue, muscle soreness, etc. There is absolutely NO desire on my part to exacerbate those conditions with something that would not only make my life appreciably worse, but would do so at the expense of my ability to work."	"Anti"
80	"Yes, as a general rule I am certainly pro-vaccine utilizing attenuated or dead viruses as has long been the case and certainly has a very good safety profile. I am not, however, willing to trust a recently developed mRNA vaccine with a questionable safety profile"	"Anti"
81	"I looked at each category and to look at the data.  I accidently clicked that I would receive one of them, but I meant no to all of them.  I did get vaccinated but will never again in the future."	"Anti"
82	"I looked out for side effects and its benefits."	"Pro"
83	"I looked at each item and weighed the pros and cons"	"Neutral"
84	"I focused more on the effectiveness rate than the side effects unless the rate of side effects were high and very severe."	"Pro"
85	"The benefits (protection) is more important to me than side effects - but some side effects are bad enough that they swayed my opinion. I have an autoimmune disorder so side effects of attacking the system is a hard no for me."	"Pro"
86	"I mostly looked at the risks and side-effects, since the vaccines don't really seem to prevent people from getting COVID."	"Anti"
87	"I looked at all the information provided and went with my gut in terms of what risk I was willing to take - or not."	"Neutral"
