text,labels
Looking at the probability of certain negative side effects and seeing if the vaccine genuinely protects someone would be very important.,0.625
"Not really, I looked at all the numbers and made a quick assesment on the ratio of the benefits and risks.",0.75
I weighed the side effects with the benefits and determined if the side effects were worth it based on how much percentage wise the vaccine protected from covid.,0.75
Percentages were important. In all things (medicine especially) there are risk and rewards that have to be weighed out in order to make the best decision. So I knew the categories would be the samesimilar but the percentages would be the ever chnaging factor to consider.,0.375
I would look up the potential side effects and how I. thought my body would react if those should arise.nI searched for months and i still research,0.25
"It's hard to say. I just tried to combine benefits and side effects and to apply them to myself, but I think that my own vaccination and the vaccine I had affected my decision.",0.5
Emotional choice,0.125
"Severity of risks listed, such as tiredness compared to blood clots. Protection against being infected in the first place was my main concern as for benefits.",0.25
To define some symtoms,0.25
I have not done any type of searches concerning the vaccines,0.125
"Sorry, but do you mean 'were there...?' With some of the choices I looked at more specific information, but the choices were made randomly.",0.0
I've been fully vaccinated yet caught Covid this year. Beforehand I was very pro-vaccines; my spouse got booster shot yet had more severe symptoms that I did. Now I was neutral about the vaccines especially the news that Pfizer was hiding some data and Big pharma been making record profits from the vaccines. I think we should be casting doubt on the vaccines efficacy; it's good to get vaccinated but also respect other people's feelings about vaccine and whether they want to get jab or not it's completely up to them. The way that vaccine mandates have completely backfired and it's why I switched my attitude toward it.,0.625
"I went down the line, left column uncovered 2 choices, moved down, etc, then over to the right column and did same.",0.0
"I mostly based it on the country of origin(China and the US and Germany can't be trusted), the others were based on side effects and how unusual they are based on all the other vaccines I've had in the past 57 years.",0.375
Severity of side effects and likelihood.,0.25
"Weighed the pros, cons, and probability of the side effects. My search behavior was more or less the same for each vaccine in the choice task. I did accidentally click the wrong choice for Pfizer (I said I would refuse to get this vaccination) and should have agreed to have been vaccinated by all.",0.875
I really only cared about serious side effects that would cause issues for the rest of my life.  I wasn't concerned about temporary discomfort.,0.625
I guess because of all of the DEATH and severe adverse reactions to vaccines that are basically for the common cold which supposedly has no cure.  I will not take that experimental vaccine as I have read so many terrible things about it.,0.0
"I searched through all of the information that was presented to me in this survey. I revealed the information on the left side first, then went through the information on the right side of the screen. I wanted to see both the benefits and the side effects caused by each of the vaccines. I was also curious about how often these side effects can occur from taking the vaccine.",0.0
I was looking for the percentage of protection against infection. I chose the vaccines that I believe are more effective against Covid and will provide me with greater protection.,0.5
informed by others smarter than i was in medicine and vaccines that i trust to tell me both the positives and negatives,0.25
What was most effective and that only took one shot. i just did not the full outcomes and i would be scared i feel i got lucky so far and will not take another shot,0.125
"I was interested in the efficacy percentages of the vaccinations presented. I noticed that I weeded out the ones that had lower efficacy percentages. I also did not like the ones that had severe side effects, like facial paralysis and heart problems.",0.875
Vaccination not worth it for my risk level due to side effects and low risk of severe covid,0.0
"There were not really specific reasons, I just went with how I thought I would decide.",0.625
I analyzed the percentages given with the other factors and tried to make the best decision with my gut feelings.,0.0
I would try to see what the percent chance was of getting side effects or of getting sick. Then I would pick if I would get it or not.,0.375
equal risks to benefits are important to me. also availability of the vaccine and number of people that have received it.,0.625
Went in order left to right as they were presented,1.0
"Not really, I'm pretty open to vaccines so I would get all of them except the one that really wasn't all that effective",0.875
I would not want any COVID-19 vaccine at this point in time. I don't see it as a legitimate threat. I also would not pay to avoid taking it because that doesn't seem like a realistic scenario to me.,0.0
I am a medical professional still seeing covid every day and I have personally seen the benefits of the vaccine.,0.75
"No, I just reviewed the information that was presented",0.0
I just went top-to-bottom left-to-right.,0.25
"I would not take any of them. I looked at all the criteria, but I would not take any. Covid is a flu, no one should be afraid. I would not risk a runny nose to shoot up unknown junk for a flu. I have heart disease history in my family, not worth the risk.",0.0
I did my searching and research based on scientific facts and figures.,0.375
"Looked at all information, payed specific attention to rates of severe side effects and rates of protection (want to see high rates of protection, if rates of protection were low then more risk adverse when it comes to side effects)",0.75
I looked at the percent effectiveness and then weighed the side effects.,1.0
"I just wanted to see how it would protect against COVID 19. I felt that this task was unreliable....since COVID has changed. NOT ONE VACCINE Will protect AGAINST getting COVID. So what am I really getting vaccinated for? nIf I can still get COVID, what good is the vaccines?",0.625
I generally prioritized looking at the information regarding vaccine efficacy over possible side effects.,0.875
"No, I just know too many people that suffered complications from the vaccine. I don't want it.",0.0
No.  I wanted to see all the facts.,0.5
I tried to take a stance on how I felt about different kinds of vaccines and what their side effects where.,0.0
"I searched and got information from qualified sources:  medical community, congressional testimony, world-wide statistics, CDC data (published, but often inaccurately reported), scientists, and applied my own critical thinking skills.",0.0
No. I just read the information presented to me and used my rationality.,0.25
"no, looking for severe risks",0.75
I weighed the risks and the benefits. None of the risks were worth the potential benefits for me in this task.,0.0
I looked at every choice. In no particular order. Most important factors were effectiveness against severe and death.,0.5
"The most important to me is there should not be severe side affects that could risk life in the vaccine, the second is how good it prevents COVID.",0.625
"I had general impressions of each vaccine presented based on news and information I already read. I was not really interested in the benefits listed as I am not concerned in the least about getting a COVID-19 infection. I was exclusively concerned with the risks and the manufacturer of the vaccine; I would never trust a vaccine made in China, for example.",0.25
I answered based off of personal research and my own perception. My search behavior was assertive because this matter should be taken seriously since it is something that will affect your body and possibly life.,0.0
Not really,0.0
did not search I am 60 yrs old natural immunity or death,0.0
No specific reasons at all.,0.375
"I was looking for highest efficacy rates, really, and not too focused on side effects. I'd recently been vaccinated against shingles, penumonia, and had a T-dap vax. I had MMR as a kid (and a teen and a young adult, something about a bad batch of vax when I was young). I even have a smallpox vaccination scar. I remember a kid in elementary school who had trouble walking because she'd had polio. Most people under 50 today have no idea what a pandemic really looks like and also, rely too heavily on mass mediatv and have poor critical thinking skills, so I worry for future generations, especially because of the anti-vax movement.",0.375
"Overall, I looked at how likely the severe risks were to occur and then looked at the overall effectiveness of the vaccine. If there were some rather high risk effects of the vaccine, it needed to be extremely effective at preventing COVID in order for me to consider taking it.",0.75
"I was worried about severe side effects since I don't want that. Also, if it's from China I don't trust it.",0.5
I was wary of any side effect described as severe and I tried to focus on the ones where it was unlikely you get covid and unlikely you die or get severe covid.,0.625
I just wanted a reminder of the numbers that various entities claim for each vaccine.,0.0
I would say I focused more on the side effects than any other aspect of the vaccines.,0.125
"no, overall I feel very negative towards the covid vaccines, I would not get one right now",0.0
"I used prior knowledge of 4 of the different vaccines. I trust Pfizer and Moderna, but not the others.",0.375
"My search was characterized by the variety and severity of the bad reactions created by the vaccines. My health is already greatly affected by fatigue, muscle soreness, etc. There is absolutely NO desire on my part to exacerbate those conditions with something that would not only make my life appreciably worse, but would do so at the expense of my ability to work.",0.0
"Yes, as a general rule I am certainly pro-vaccine utilizing attenuated or dead viruses as has long been the case and certainly has a very good safety profile. I am not, however, willing to trust a recently developed mRNA vaccine with a questionable safety profile",0.5
"I looked at each category and to look at the data.  I accidently clicked that I would receive one of them, but I meant no to all of them.  I did get vaccinated but will never again in the future.",0.25
I looked out for side effects and its benefits.,0.5
I looked at each item and weighed the pros and cons,0.5
I focused more on the effectiveness rate than the side effects unless the rate of side effects were high and very severe.,0.625
The benefits (protection) is more important to me than side effects - but some side effects are bad enough that they swayed my opinion. I have an autoimmune disorder so side effects of attacking the system is a hard no for me.,0.375
"I mostly looked at the risks and side-effects, since the vaccines don't really seem to prevent people from getting COVID.",0.125
I looked at all the information provided and went with my gut in terms of what risk I was willing to take - or not.,0.375
"I chose after seeing the side effects and the highest possible outcome. If the side effects were severe, but the percentage rate for effectiveness was high, I chose not to take the shot. If the side effects were minimal and the percentage of the effectiveness was high, I chose the shot.",0.375
"I always checked the benefits of the vaccine, and then compared them to the risks. Then I made my decision to whether it was worth it or not. I didn't really care about the technology nor the country of origin.",0.625
"I attempted to see all the information that was available during the tasks. That said, since the tasks were comparing vaccines that were widely known, my previous knowledge and relationship to those vaccines did play into my answers.",0.5
No,0.5
"I looked at effectiveness more than I did side effects, and usually based my decisions off of the effectiveness.",0.25
I'd take any approved vaccine,0.875
I just wanted to know the side effects,0.5
I read UNCENSORED news and know the truth.  Why would the vax companies want to hide the truth for 75 years?  The FDA lost a court case and have been forced to release thousands of pages of information each month now.  Why not check out the TRUTH.  Many people are waking up to the cold hard facts.  There are MANY doctors risking their lives to get the TRUTH out.  Why have so many been killed?  The truth WILL Come out for ALL to see.,0.0
If they had severe side effects I just wouldn't want to do it.,0.625
I made my choices based on which of the information was most reliable for me. And my search behavior was decided on which of the vaccines I would take.,0.25
"I wanted to read all of it and I just started in the left column and went down then repeated for the right. Because I am most afraid of getting long covid (much more so than dying, especially because vaccines are so effective against death), the most important piece of information to me was the level of protection against getting any covid infection since that can happen from even an asymptomatic case. However I was not willing to pay for these on principle because all covid vaccination should be free as it is a major PUBLIC health risk and not an individual burden, no matter what any one says.",1.0
na,0.25
"I did a lot of research on mRNA.  My brother in law is an immunologist and he explained it to me but I still mistrust it. I don't want it. I think there are a lot of things we just don't know yet aboutlong term events. Also, as I feel COVID-19 was developed in a lab in Wuhan, China, I do not want any vaccine from China. NO NO NO.  I will stick (no pun intended) with the tried and true methods of vaccination, even if they are not quite as effective. My daughter had the Pfizer vaccine, my husband had Moderna AND the booster, my son and I had J & J, my daughter and her husband both had the Pfizer plus booster and guess what?  We ALL---every single one of us--got the virus and we were all sick with about the same symptoms for the same amount of time. People in their mid twenties and people in their early sixties.  I think it has been a huge windfall for the pharmceutical companies and we were all dupes and guinea pigs. You know who has NOT ever gotten COVID-19? My brother, who never had one single vaccine.  This whole thing makes me distrust health experts and makes me very skeptical of any new advice they have for us.",0.375
i searched how effective each vaccine was in protecting against covid and the side effects.,0.875
"I refuse to take any vaccine from China straightaway, I don't care about any other facts about the vaccine. Anyhow, all of these damaging vaccines are globalist racket. I eat organic vegetables from my own garden, this household eats clean and stays fit, why on earth would we take ANY risks for some protection against a little bug that made me sick for 6 hours? I was born at night, but not last night.",0.0
I tired to focus on the side effect numbers and gauged that against the benefits.,0.875
"I took a look at all of the benefits and risks and if the number of people experiencing side effects labeled as severe were high, that made me less likely to take that vaccine.  I want to avoid severe headaches and muscle pain as much as possible, even if it means accepting a risk of blood clot or some other catastrophic event.  The rates of those catastrophic events were usually incredibly low, most times less than a fraction of 1%, so I was willing to risk that assuming that I would not have a horrible reaction like that.",0.625
negative side effects takes precedence,0.625
"I was more interested in the benefits than the side effects. However, I admit that rare and scary side effects (such as facial paralysis) grabbed my attention, and I was less willing to entertain the risk of acquiring them, even a slight risk.",0.375
"I looked at a few of the boxes but since this whole vaccine nightmare started I have been getting a lot of information from a private newsletter that I get from a very trusted source , in my email. I also have been taking the advice of my acupuncturist who is the only medical practitioner that I now trust. I  know a lot about this and I would never under any circumstances get  any of these poisonous vaccines. I personally know one woman who got heart inflammation from it and almost died and I know of another man who DID die from it . Not including all the other thousands of people all over the world who have died or been crippled by them . If I was held down by a government agent and forcibly injected with it I think I would be so terrified that I might commit suicide.  I would  be in such a state of terror that I would just lay in bed and shake and scream . I  am NOT anti vaccine . I got all the childhood ones and I got the shingles vaccine several years ago. THIS is different . It's just as much of a bioweapon as the virus that was deliberately unleashed on the world as an act of war by the communist Chinese government . And it worked . Western civilization , and especially America has been destroyed by it and now the Chi Coms are taking over the world . It's a nightmare .",0.0
No and I have a wait and see attitude given the virus was madly overhyped and it is nowhere near as lethal as it was projected but it has done a good bit of damage to civilisation anyhow.,0.0
i researched side effects and potential benefits and chose the one that has the most benefits and researched anecdotal evidence on hospital visits.  I used Facebook group for anecdotal evidence as well as Twitter accounts.,0.125
went over all of the presented information in order presented,1.0
I know what is in the vaccines. My aunt is a RN and she found out. For a time she was helping out the prisons and she said she would not inject the hardest criminals with that stuff.,0.0
I just looked at each piece of information one by one,0.125
I was mostly focused on effectiveness against severe infection and severe side effects.,0.75
"I just looked everything over but honestly it wasn't any new information, those side effects are crazy.",0.0
"I searched for side effects per million to do cost benefit analysis. However, in all reality I said NO to every company except India. My confidence in vaccine manufacturers and medical bureaucrats in general has fallen massively during Covid19 response. India got a possible yes because they didn't play politics with their citizens health when Ivermectin was proven effective against severe Covid19, and simply distributed it in care packages.",0.125
Just basically weighed the side effects and effectiveness. The more severe side effects and lesser effectiveness I said no to.,0.625
"Basically, I looked at the percentages in terms of how much they prevented Covid andor its seriousness. Also, the country of origin. If the rates of tiredness, etc. were particularly high I considered that along with percentages.",0.625
I looked at the risks first.  I wanted to support my country as well.,0.75
I did not search for any information.,0.0
"I just wanted to get some protection against COVID-19. I did some research and was pleased with what I read about all the available vaccines in general, but more so about the BioNTechPfizer one, and was fortunate enough to have that one available in my area.",0.5
I looked at the side effects of the vaccines and their potential to help me not contract the virus again.,0.625
"I just looked to see if there was any info on the risk of the particular issue I have with the vaccines, which is tinnitus, which I already have a severe case of and which all of the vaccines I've studied thus far can make worse. If it was not addressed, I said no. And it was never addressed. I wear N95 masks and stay home.",0.0
I mainly focused on their effectiveness for combating the worst symptoms of the virus above all else.,0.875
I looked at all the available information and then decided based on whether I thought the benefits outweighed the risks.,0.125
I just knew i'd never take a vaccine no matter what to be honest.,0.0
I checked all the effectiveness and side effect info,0.625
I just took all the numbers at face value and made a decision. Nothing that strenuous.,1.0
I'd take most vaccine versus getting sick.,0.875
I reviewed every bit of information that was provided as if reading a book or newspaper. I started at the top left and read each one from left to right from top to bottom.,0.125
nan,0.25
"not really, just based on information about vaccines already present",0.5
I did not because I formed an opinion a year ago. The vaccine is not old enough.,0.0
I looked for protection against severe illness and death and measured that against permanent or dangerous health side effects. I also refused any vax from China as I don't think their formulation is high quality or trustworthy.,0.75
I was more interested in the search for the effectiveness of the vaccine.  If the effectiveness was not greater than 90% then I would not be interested in receiving the vaccine.,0.25
side effects and percentage of effectiveness,0.25
I would love the benefits of being vaccinated but the risks are too high for me to take. I feel like getting the vaccine would be like gambling with my life.,0.0
"I was mostly concerned with the frequency of negative side effects. I'm curious about some of the reported numbers, referring to the chances out of 1000000 that these negative effects occur, and wonder if they're a bit lower than what actually is the case in reality. I wasn't so concerned about prevention of infection with COVID, since that's almost impossible to truly avoid. Severe infection or death from COVID are things I'm statistically unlikely to experience, so those weren't major concerns either.",0.0
I am strongly opposed to chinese vaccines (due to testing  effecacy issues) and mRna vaccines (due to no long term side effect profiles and unknowable risks),0.125
low side effects,0.5
I focused on effectiveness rates and the number of people who had severe reactions when deciding. I was outweighing the pros and cons.,0.75
"My biggest concerns are heart-related side-effects and blood clots, so I would avoid any vaccines that could cause them. I already have severe cardiophobia and arrhythmia so I would hate to do anything that would potentially aggravate my symptoms. I was more open to Novavax because it sounds more traditional and the side-effects seem milder.",0.125
I didnt search for information on vaccines. I just read everything and gave my best response on the questions,0.25
Country of origin is the most important factor.  Familiarity of company names also affected my choice.,0.625
"I don't have any special requirements or conditions but do live with someone who has multiple autoimmune disorders and is at higher risk for covid complications so whatever she felt safest taking, I was also willing to considering the amount of research she's done and what is on the line for her.",0.875
I looked mainly at the percentages and how high or low they were. I also looked at things like where the vaccine came from.,0.25
i looked at the risks and effectiveness,0.5
I gathered all info about all areas,0.625
"Asking general attitude towards a vaccination is a misleading question, or at least you likely will get misleading answers. I actually have very little against CHOOSING to get vaccinated when I determine that the riskrewards are worth it. Unfortunately covid was 100% politicized and a major authoritarian power grab that has practically eliminated personal liberty in the US. We might pretend that these measures are being eased up (why should I be thankful that the government is kind enough to give me back my freedom??) but the population has proven that they can be controlled with fear and will submit to anything that their overlords say.nnBut anyway, wouldn't touch anything from China, I have no faith in any numbers they may claim. I am skeptical of mRNA not because I distrust it, but because the government, pharmaceuticals, and media actively suppressed and ostracized anyone who hinted at having an alternate opinion, and refused to even consider that there might be cheaper  existing TREATMENTS rather than this blind desire for a vaccine.",0.25
"Yes, my search was primarily focused on the severity of the side effect and the vaccine's overall effectiveness rating.",0.625
alternative news &studies,0.0
"I knew from the beginning that this whole thing is a huge psyop. When Ovenor Jay Inslee required face skams that is when I knew for sure this whole thing was a lie. I watched a video today about a pilot who had the shot (it is not a vaccine) and had a heart attack while flying a plane full of people. According to VAERS a lot of people are having very bad reactions. I used to get vaccines for my job because I worked in social services at schools, hospitals, and prisons. I will never get another vaccine again. Bill Gates and Klaus Schwab have an agenda.",0.0
I was primarily focused on the effectiveness of the vaccines,1.0
"I relied more heavily on the side that were intolerable for me, but I also required at least 90% efficacy in protecting against different aspects of Covid-19.",0.5
"Well unfortunately given all that's happened around vaccines I came into the study having seen a lot of information (whether correct or not) and formed opinions on the vaccines. I understand statistical events but even when they are really low I still have to ask myself do I want to roll those dice? I was originally offered J&J as a first vaccine. I declined it because it had whole DNA in it and I didn't like the viral vector because even though it's said to be safe if you had been exposed to it, the the shot would be useless because your immune system would attack the vector before the DNA could be delivered to the cell. This is why I don't like vector vaccines. I've come to be very hesitant and skeptical about the mRNA vaccines as well. I don't know it that is still sitting in my body replicating to allow some side effect to come up later. Not to mention it's obvious at this point that they don't have anywhere near 90+% efficacy against infection. Anyway, regardless of the rate of incidence, if the side effect is severe I think twice about getting it because it seems like I always have all the side effects. Generally I would feel safer with taking a more traditional vaccine that contains subunits or disabledkilled virus. And finally I feel that other mitigations are more important that vaccines currently available since they aren't doing a lot of good. In 2021 I was very much for these vaccines and I got the Pfizer vaccine as soon as it was available to me and I got the 2nd dose and even a booster, but now I'm not happy with the results of everyone still getting infected. So many people I know have been vaccinated and infected anyway and these vaccines do not protect anyone from long covid or whatever else this virus might do if it lingers around in the body like the epstein bar virus does. I hope you get what you need on this study but I think most people are going to come into it with bias from information outside the study unless they've been living in a remote cave or something",0.375
"The side effects, the risks, the effectiveness of the vaccine, and the percentage of people affected were the most important factors for me when deciding if I would take the vaccine or not.",0.5
I looked at all the info provided,0.75
na,0.0
